min_support:10
Frequent Pattern,Support
{'Coffee'},4528
{'Bread'},3097
{'Tea'},1350
{'Cake'},983
"{'Coffee', 'Bread'}",852
{'Pastry'},815
{'Sandwich'},680
{'Medialuna'},585
{'Hot chocolate'},552
"{'Coffee', 'Cake'}",518
{'Cookies'},515
"{'Coffee', 'Tea'}",472
"{'Pastry', 'Coffee'}",450
{'Brownie'},379
{'Farm House'},371
{'Juice'},365
{'Muffin'},364
"{'Sandwich', 'Coffee'}",362
{'Alfajores'},344
"{'Medialuna', 'Coffee'}",333
{'Scone'},327
{'Soup'},326
{'Toast'},318
"{'Hot chocolate', 'Coffee'}",280
"{'Pastry', 'Bread'}",276
{'Scandinavian'},275
"{'Cookies', 'Coffee'}",267
"{'Tea', 'Bread'}",266
"{'Cake', 'Tea'}",225
"{'Coffee', 'Toast'}",224
"{'Cake', 'Bread'}",221
"{'Juice', 'Coffee'}",195
{'Truffles'},192
"{'Coffee', 'Alfajores'}",186
"{'Coffee', 'Brownie'}",186
{'Coke'},184
"{'Coffee', 'Muffin'}",178
{'Spanish Brunch'},172
"{'Coffee', 'Scone'}",171
"{'Sandwich', 'Bread'}",161
"{'Medialuna', 'Bread'}",160
{'Baguette'},152
"{'Soup', 'Coffee'}",150
{'Tiffin'},146
{'Jam'},142
{'Fudge'},142
"{'Cookies', 'Bread'}",137
"{'Sandwich', 'Tea'}",136
{'Mineral water'},134
"{'Hot chocolate', 'Bread'}",127
{'Jammie Dodgers'},125
{'Chicken Stew'},123
"{'Hot chocolate', 'Cake'}",108
"{'Coffee', 'Pastry', 'Bread'}",106
"{'Spanish Brunch', 'Coffee'}",103
"{'Bread', 'Brownie'}",102
{'Hearty & Seasonal'},100
{'Salad'},99
"{'Alfajores', 'Bread'}",98
"{'Coffee', 'Cake', 'Bread'}",95
"{'Coffee', 'Cake', 'Tea'}",95
"{'Cookies', 'Tea'}",93
"{'Pastry', 'Tea'}",91
"{'Medialuna', 'Pastry'}",87
"{'Soup', 'Tea'}",86
"{'Scone', 'Bread'}",86
{'Frittata'},81
"{'Coffee', 'Tiffin'}",80
"{'Scone', 'Tea'}",79
{'Smoothies'},77
"{'Bread', 'Muffin'}",77
"{'Medialuna', 'Tea'}",77
"{'Hot chocolate', 'Tea'}",76
"{'Bread', 'Toast'}",74
"{'Coffee', 'Truffles'}",71
"{'Juice', 'Bread'}",70
"{'Coffee', 'Tea', 'Bread'}",70
"{'Cookies', 'Cake'}",69
"{'Juice', 'Tea'}",68
"{'Sandwich', 'Coffee', 'Bread'}",68
"{'Juice', 'Cake'}",67
"{'Coffee', 'Hot chocolate', 'Cake'}",65
"{'Sandwich', 'Cake'}",65
"{'Alfajores', 'Tea'}",64
"{'Tea', 'Brownie'}",64
"{'Medialuna', 'Coffee', 'Bread'}",64
{'Keeping It Local'},63
"{'Coffee', 'Jammie Dodgers'}",63
"{'Farm House', 'Coffee'}",63
"{'Coffee', 'Salad'}",62
"{'Bread', 'Scandinavian'}",62
"{'Soup', 'Bread'}",62
"{'Tea', 'Muffin'}",62
"{'Coke', 'Coffee'}",61
"{'Tea', 'Toast'}",61
{'The Nomad'},58
"{'Cookies', 'Juice'}",58
"{'Coffee', 'Hot chocolate', 'Bread'}",58
"{'Cookies', 'Hot chocolate'}",57
"{'Sandwich', 'Juice'}",55
{'Focaccia'},54
"{'Hearty & Seasonal', 'Coffee'}",54
"{'Hot chocolate', 'Pastry'}",54
"{'Coffee', 'Mineral water'}",53
{'Vegan mincepie'},52
"{'Sandwich', 'Soup'}",52
"{'Keeping It Local', 'Coffee'}",51
"{'Sandwich', 'Coffee', 'Tea'}",51
"{'Coffee', 'Cookies', 'Bread'}",50
"{'Coffee', 'Chicken Stew'}",49
"{'Coke', 'Sandwich'}",49
"{'Pastry', 'Cake'}",49
{'Bakewell'},48
"{'Bread', 'Jam'}",48
"{'Truffles', 'Bread'}",47
"{'Farm House', 'Bread'}",47
{'Tartine'},46
"{'Bread', 'Tiffin'}",46
"{'Coffee', 'Scandinavian'}",46
"{'Cake', 'Muffin'}",46
"{'Medialuna', 'Pastry', 'Coffee'}",46
"{'Cake', 'Bread', 'Tea'}",46
"{'Spanish Brunch', 'Bread'}",45
"{'Cake', 'Scone'}",45
"{'Medialuna', 'Hot chocolate'}",45
"{'Bread', 'Jammie Dodgers'}",44
"{'Spanish Brunch', 'Tea'}",44
"{'Sandwich', 'Coffee', 'Cake'}",44
"{'Coffee', 'Pastry', 'Tea'}",44
{'Afternoon with the baker'},43
"{'Coffee', 'Frittata'}",43
"{'Soup', 'Cake'}",42
"{'Cake', 'Brownie'}",42
"{'Sandwich', 'Hot chocolate'}",42
"{'Coffee', 'Alfajores', 'Bread'}",41
"{'Coffee', 'Cookies', 'Cake'}",40
"{'Coffee', 'Jam'}",39
"{'Cake', 'Alfajores'}",39
"{'Hot chocolate', 'Brownie'}",39
{'Art Tray'},38
{'Extra Salami or Feta'},38
"{'Coffee', 'Smoothies'}",38
"{'Coffee', 'Juice', 'Cake'}",37
"{'Coffee', 'Cookies', 'Tea'}",37
"{'Sandwich', 'Truffles'}",36
"{'Coffee', 'Bread', 'Brownie'}",36
"{'Coffee', 'Hot chocolate', 'Pastry'}",36
"{'Coffee', 'Bread', 'Toast'}",35
"{'Cookies', 'Juice', 'Coffee'}",35
"{'Cookies', 'Coffee', 'Hot chocolate'}",35
"{'Medialuna', 'Cake'}",35
"{'Medialuna', 'Coffee', 'Tea'}",35
"{'Sandwich', 'Soup', 'Coffee'}",34
"{'Hot chocolate', 'Alfajores'}",34
"{'Hot chocolate', 'Muffin'}",34
"{'Tea', 'Tiffin'}",33
"{'Coffee', 'Scone', 'Bread'}",33
"{'Coffee', 'Scone', 'Tea'}",32
"{'Coffee', 'Extra Salami or Feta'}",31
"{'Coffee', 'The Nomad'}",31
"{'Sandwich', 'Mineral water'}",31
"{'Coffee', 'Fudge'}",31
"{'Bread', 'Fudge'}",31
"{'Coffee', 'Tea', 'Toast'}",31
"{'Pastry', 'Alfajores'}",31
"{'Coffee', 'Vegan mincepie'}",30
"{'Tea', 'Chicken Stew'}",30
"{'Bread', 'Mineral water'}",30
