min_support:10
Frequent Pattern,Support
{'2781'},69
{'874'},67
{'2001'},64
{'1504'},63
{'3934'},62
{'3186'},60
{'3572'},57
{'592'},57
{'1750'},55
{'3106'},54
{'1382'},53
{'1559'},52
{'69'},52
{'3655'},52
{'2079'},51
{'722'},50
{'2339'},50
{'2561'},50
{'1541'},50
{'1275'},49
{'1678'},48
{'1952'},48
{'3149'},48
{'2234'},48
{'318'},48
{'3498'},48
{'3730'},47
{'707'},46
{'1971'},46
{'3190'},45
{'1940'},45
{'2445'},45
{'1502'},44
{'2842'},44
{'1834'},44
{'2852'},44
{'1664'},44
{'3296'},44
{'2861'},43
{'3667'},43
{'1464'},42
{'63'},42
{'902'},42
{'992'},42
{'214'},41
{'545'},41
{'1269'},41
{'3114'},41
{'3025'},41
{'1557'},41
{'3835'},41
{'2021'},40
{'2387'},40
{'480'},40
{'1903'},40
{'3948'},40
{'2589'},39
{'1233'},39
{'432'},39
{'3079'},39
{'558'},39
{'1816'},39
{'246'},39
{'2979'},39
{'2457'},38
{'3192'},38
{'2964'},38
{'1023'},38
{'1136'},38
{'3160'},38
{'3988'},38
{'571'},38
{'3538'},37
{'2315'},37
{'1276'},37
{'1411'},37
{'2714'},37
{'2227'},37
{'3664'},37
{'871'},36
{'1042'},36
{'2595'},36
{'1694'},35
{'3931'},35
{'3319'},35
{'2397'},35
{'2858'},35
{'3671'},35
{'3119'},35
{'238'},35
{'2343'},35
{'3583'},35
{'3552'},35
{'2535'},34
{'2947'},34
{'1183'},34
{'87'},34
{'3722'},34
{'1909'},34
{'2095'},34
{'2489'},34
{'416'},34
{'1190'},34
{'3511'},34
{'3683'},34
{'1988'},34
{'150'},33
{'2699'},33
{'1735'},33
{'3623'},33
{'2989'},33
{'2223'},33
{'1003'},33
{'3010'},33
{'3271'},33
{'553'},33
{'2508'},33
{'647'},33
{'3008'},33
{'1474'},32
{'1624'},32
{'1184'},32
{'1371'},32
{'74'},32
{'3651'},32
{'2725'},32
{'377'},32
{'575'},32
{'3628'},32
{'709'},32
{'3151'},32
{'3320'},32
{'2198'},32
{'3066'},32
{'2918'},32
{'2637'},31
{'595'},31
{'3267'},31
{'221'},31
{'3921'},31
{'36'},31
{'3932'},31
{'1500'},31
{'2986'},31
{'2726'},31
{'1893'},31
{'699'},31
{'2610'},31
{'740'},31
{'868'},31
{'3624'},31
{'2676'},31
{'1113'},30
{'3927'},30
{'1017'},30
{'3669'},30
{'1191'},30
{'326'},30
{'247'},30
{'1407'},30
{'3600'},30
{'852'},30
{'405'},30
{'1334'},30
{'988'},30
{'2193'},30
{'2063'},29
{'3356'},29
{'2527'},29
{'3810'},29
{'192'},29
{'2786'},29
{'300'},29
{'38'},29
{'1092'},29
{'540'},29
{'289'},29
{'3768'},29
{'1630'},29
{'1554'},29
{'2481'},29
{'3676'},29
{'248'},29
{'117'},29
{'1486'},29
{'3387'},29
{'925'},29
{'2297'},29
{'414'},29
{'3142'},28
{'1428'},28
{'930'},28
{'3317'},28
{'813'},28
{'3305'},28
{'1239'},28
{'1186'},28
{'903'},28
{'623'},28
{'2864'},28
{'1503'},28
{'2722'},28
{'2790'},28
{'2685'},28
{'147'},27
{'123'},27
{'2289'},27
{'127'},27
{'773'},27
{'437'},27
{'1234'},27
{'1762'},27
{'2373'},27
{'994'},27
{'2025'},27
{'1859'},27
{'686'},27
{'3907'},27
{'863'},27
{'1067'},27
{'48'},27
{'662'},27
{'2112'},27
{'1343'},27
{'2893'},27
{'3559'},27
{'1188'},27
{'3221'},27
{'2418'},27
{'281'},27
{'3656'},27
{'2401'},27
{'169'},26
{'1713'},26
{'2680'},26
{'368'},26
{'1725'},26
{'2268'},26
{'827'},26
{'3480'},26
{'3980'},26
{'1737'},26
{'756'},26
{'2053'},26
{'2239'},26
{'1039'},26
{'2472'},26
{'179'},26
{'729'},26
{'1194'},26
{'2155'},26
{'2428'},25
{'539'},25
{'1671'},25
{'148'},25
{'3196'},25
{'1804'},25
{'1005'},25
{'2584'},25
{'1705'},25
{'2819'},25
{'656'},25
{'222'},25
{'3051'},25
{'737'},25
{'2176'},25
{'3662'},25
{'3935'},25
{'2580'},25
{'996'},25
{'1493'},25
{'444'},25
{'1688'},25
{'2265'},25
{'2004'},25
{'1873'},24
{'1286'},24
{'2080'},24
{'3056'},24
{'3241'},24
{'858'},24
{'998'},24
{'3024'},24
{'2337'},24
{'1145'},24
{'2415'},24
{'3277'},24
{'2060'},24
{'3092'},24
{'1462'},24
{'3953'},24
{'3341'},24
{'1284'},24
{'2825'},24
{'963'},24
{'188'},24
{'2708'},24
{'2010'},24
{'3551'},24
{'1202'},24
{'1025'},24
{'1756'},24
{'3197'},24
{'472'},24
{'325'},24
{'1205'},24
{'3496'},24
{'1197'},24
{'3639'},24
{'3'},24
{'1119'},24
{'3228'},24
{'3168'},24
{'402'},24
{'3864'},24
{'1144'},24
{'1545'},24
{'3807'},24
{'1475'},24
{'1836'},23
{'81'},23
{'3136'},23
{'1014'},23
{'2408'},23
{'1412'},23
{'1458'},23
{'3154'},23
{'3226'},23
{'907'},23
{'3914'},23
{'293'},23
{'3159'},23
{'259'},23
{'1374'},23
{'3351'},23
{'1882'},23
{'277'},23
{'806'},23
{'815'},23
{'2739'},23
{'1294'},23
{'1843'},23
{'2849'},23
{'3062'},23
{'599'},22
{'3871'},22
{'1765'},22
{'3653'},22
{'1610'},22
{'2000'},22
{'1530'},22
{'3912'},22
{'1666'},22
{'1235'},22
{'3828'},22
{'933'},22
{'3952'},22
{'518'},22
{'118'},22
{'3938'},22
{'395'},22
{'3349'},22
{'500'},22
{'1569'},22
{'2368'},22
{'3070'},22
{'1015'},22
{'3882'},22
{'360'},22
{'291'},22
{'359'},22
{'3392'},22
{'1273'},22
{'2900'},22
{'335'},22
{'2201'},22
{'1884'},22
{'527'},22
{'3361'},22
{'2250'},22
{'3350'},21
{'236'},21
{'3514'},21
{'446'},21
{'3752'},21
{'629'},21
{'2557'},21
{'559'},21
{'807'},21
{'3788'},21
{'1405'},21
{'2104'},21
{'2912'},21
{'1026'},21
{'544'},21
{'1590'},21
{'974'},21
{'78'},21
{'1941'},21
{'400'},21
{'2321'},21
{'1826'},21
{'209'},21
{'1315'},21
{'682'},21
{'2506'},21
{'3328'},21
{'3035'},21
{'909'},21
{'3198'},21
{'1905'},21
{'2828'},21
{'3153'},21
{'338'},21
{'3111'},21
{'808'},21
{'2026'},21
{'371'},21
{'566'},20
{'2745'},20
{'1394'},20
{'3488'},20
{'3678'},20
{'1613'},20
{'3801'},20
{'3396'},20
{'2666'},20
{'1986'},20
{'1617'},20
{'2333'},20
{'456'},20
{'1531'},20
{'1518'},20
{'1354'},20
{'721'},20
{'3487'},20
{'2774'},20
{'1499'},20
{'3970'},20
{'1225'},20
{'85'},20
{'1928'},20
{'3165'},20
{'607'},20
{'2471'},20
{'885'},20
{'2528'},20
{'1350'},20
{'2385'},20
{'1467'},20
{'2017'},20
